split,policy,seed,graph_id,layout_score_improvement
val,PPO,2028,val__barabasi_albert__medium__idx0000__seed213026,0.11126258240220299
val,PPO,2028,val__barabasi_albert__medium__idx0001__seed213027,0.10400999147406415
val,PPO,2028,val__barabasi_albert__medium__idx0002__seed213028,0.08164027563189791
val,PPO,2028,val__watts_strogatz__small__idx0000__seed222026,0.14777612201230134
val,PPO,2028,val__watts_strogatz__small__idx0001__seed222027,0.14656878595169792
val,PPO,2028,val__watts_strogatz__small__idx0002__seed222028,0.1421644542413899
val,PPO,2028,val__watts_strogatz__medium__idx0000__seed223026,0.11745499651897351
val,PPO,2028,val__watts_strogatz__medium__idx0001__seed223027,0.11545471434023796
val,PPO,2028,val__watts_strogatz__medium__idx0002__seed223028,0.12155455412279326
val,PPO,2028,val__tree__small__idx0000__seed232026,0.27478454442789957
val,PPO,2028,val__tree__small__idx0001__seed232027,0.21996109820195775
val,PPO,2028,val__tree__small__idx0002__seed232028,0.22187481997288128
val,PPO,2028,val__tree__medium__idx0000__seed233026,0.1864232839688983
val,PPO,2028,val__tree__medium__idx0001__seed233027,0.2472155491066832
val,PPO,2028,val__tree__medium__idx0002__seed233028,0.20070636408667808
val,PPO,2028,val__grid__small__idx0000__seed242026,0.3151756037055452
